condition,self_competition,n_tf,combo_id,seed,pearson_r,r_squared,rmse_delta_log2,total_sse_score,rates_file
self_off,False,3,combo037_CREB1-CREB5-ATF7,0,0.8114379440753079,0.6584315370851626,0.2609560041037175,61655.0,outputs/figure3/runs/self_off_n03_combo037_CREB1-CREB5-ATF7_seed00_rates.txt
self_off,False,3,combo038_CREB1-CREM-ATF1,0,0.7658368913030904,0.5865061440807815,0.3006617341740577,71844.0,outputs/figure3/runs/self_off_n03_combo038_CREB1-CREM-ATF1_seed00_rates.txt
self_off,False,3,combo039_CREB1-CREM-ATF4,0,0.8243029030463437,0.6794752759706298,0.2498398907797545,60090.0,outputs/figure3/runs/self_off_n03_combo039_CREB1-CREM-ATF4_seed00_rates.txt
self_off,False,3,combo040_CREB1-CREM-ATF7,0,0.8468479511705933,0.7171514524018315,0.23742852505649903,54368.0,outputs/figure3/runs/self_off_n03_combo040_CREB1-CREM-ATF7_seed00_rates.txt
self_off,False,3,combo041_CREB1-ATF1-ATF4,0,0.6414428155789716,0.4114488856578786,0.3527904214356672,85790.0,outputs/figure3/runs/self_off_n03_combo041_CREB1-ATF1-ATF4_seed00_rates.txt
self_off,False,3,combo042_CREB1-ATF1-ATF7,0,0.7277565981735707,0.5296296661851682,0.31120063209013216,72597.0,outputs/figure3/runs/self_off_n03_combo042_CREB1-ATF1-ATF7_seed00_rates.txt
self_off,False,3,combo043_CREB1-ATF4-ATF7,0,0.7140428121352027,0.5098571375619484,0.32281118333967873,75734.0,outputs/figure3/runs/self_off_n03_combo043_CREB1-ATF4-ATF7_seed00_rates.txt
self_off,False,3,combo044_CREB3-CREB5-CREM,0,0.6990625799547296,0.4886884906929628,0.3550738132784087,89835.0,outputs/figure3/runs/self_off_n03_combo044_CREB3-CREB5-CREM_seed00_rates.txt
self_off,False,3,combo045_CREB3-CREB5-ATF1,0,0.5985164839828231,0.3582219815991609,0.36711706425229096,98018.0,outputs/figure3/runs/self_off_n03_combo045_CREB3-CREB5-ATF1_seed00_rates.txt
self_off,False,3,combo046_CREB3-CREB5-ATF4,0,0.7008257837401596,0.49115677915500894,0.319948990740798,89932.0,outputs/figure3/runs/self_off_n03_combo046_CREB3-CREB5-ATF4_seed00_rates.txt
self_off,False,3,combo047_CREB3-CREB5-ATF7,0,0.7051675723389657,0.49726130507843036,0.3639466468784557,89534.0,outputs/figure3/runs/self_off_n03_combo047_CREB3-CREB5-ATF7_seed00_rates.txt
self_off,False,3,combo048_CREB3-CREM-ATF1,0,0.6618123272958631,0.43799555656076666,0.32422253620493974,91236.0,outputs/figure3/runs/self_off_n03_combo048_CREB3-CREM-ATF1_seed00_rates.txt
self_off,False,3,combo049_CREB3-CREM-ATF4,0,0.7631724305281417,0.5824321587182312,0.2911842837675251,72234.0,outputs/figure3/runs/self_off_n03_combo049_CREB3-CREM-ATF4_seed00_rates.txt
self_off,False,3,combo050_CREB3-CREM-ATF7,0,0.5713255303728174,0.3264128616557811,2.402200610765506,175280.0,outputs/figure3/runs/self_off_n03_combo050_CREB3-CREM-ATF7_seed00_rates.txt
self_off,False,3,combo051_CREB3-ATF1-ATF4,0,0.5096520715385701,0.25974523402355576,0.39377359962271336,108840.0,outputs/figure3/runs/self_off_n03_combo051_CREB3-ATF1-ATF4_seed00_rates.txt
self_off,False,3,combo052_CREB3-ATF1-ATF7,0,0.0638959043709062,0.00408268659537599,0.5102263773778034,161590.0,outputs/figure3/runs/self_off_n03_combo052_CREB3-ATF1-ATF7_seed00_rates.txt
self_off,False,3,combo053_CREB3-ATF4-ATF7,0,0.6248941200803751,0.39049266131102633,0.40571948643450684,107100.0,outputs/figure3/runs/self_off_n03_combo053_CREB3-ATF4-ATF7_seed00_rates.txt
self_off,False,3,combo054_CREB5-CREM-ATF1,0,0.736726264574191,0.5427655889134408,0.3082991609471541,77736.0,outputs/figure3/runs/self_off_n03_combo054_CREB5-CREM-ATF1_seed00_rates.txt
self_off,False,3,combo055_CREB5-CREM-ATF4,0,0.7063658124128107,0.4989526609456101,0.32265116499219215,84225.0,outputs/figure3/runs/self_off_n03_combo055_CREB5-CREM-ATF4_seed00_rates.txt
self_off,False,3,combo056_CREB5-CREM-ATF7,0,0.6228853651799555,0.38798617815536657,0.4221896091793823,110990.0,outputs/figure3/runs/self_off_n03_combo056_CREB5-CREM-ATF7_seed00_rates.txt
self_off,False,3,combo057_CREB5-ATF1-ATF4,0,0.6375855532092082,0.40651533766109205,0.3465915363795218,101050.0,outputs/figure3/runs/self_off_n03_combo057_CREB5-ATF1-ATF4_seed00_rates.txt
self_off,False,3,combo058_CREB5-ATF1-ATF7,0,0.6860763880513212,0.4707008102415471,0.3216093917197668,94991.0,outputs/figure3/runs/self_off_n03_combo058_CREB5-ATF1-ATF7_seed00_rates.txt
self_off,False,3,combo059_CREB5-ATF4-ATF7,0,0.7123862796392336,0.5074942114182284,0.3133556254681015,87682.0,outputs/figure3/runs/self_off_n03_combo059_CREB5-ATF4-ATF7_seed00_rates.txt
self_off,False,3,combo060_CREM-ATF1-ATF4,0,0.6474269067565407,0.41916159959234245,0.3402164286998912,90834.0,outputs/figure3/runs/self_off_n03_combo060_CREM-ATF1-ATF4_seed00_rates.txt
self_off,False,3,combo061_CREM-ATF1-ATF7,0,0.7385294622784212,0.5454257666532539,0.3165347251435587,79821.0,outputs/figure3/runs/self_off_n03_combo061_CREM-ATF1-ATF7_seed00_rates.txt
self_off,False,3,combo062_CREM-ATF4-ATF7,0,0.7480521120079981,0.5595819622796266,0.29802861070101466,76811.0,outputs/figure3/runs/self_off_n03_combo062_CREM-ATF4-ATF7_seed00_rates.txt
